postcode,latitude,longitude
G64 2AA,55.903496,-4.227295
G65 9JE,55.977913,-4.06246
G66 1DH,55.939201,-4.161064
G66 1DN,55.939236,-4.159805
G66 1JB,55.939379,-4.15555
G66 1NH,55.937356,-4.155809
G66 3BF,55.934562,-4.151712
G66 7JJ,55.974456,-4.201948
G67 1BJ,55.946371,-3.987202
G67 1BJ,55.946371,-3.987202
G67 1BP,55.940491,-3.997061
G67 2ES,55.953291,-3.970963
G67 3BE,55.959964,-3.951701
G67 3BE,55.959964,-3.951701
G67 4DN,55.932867,-4.026742
G69 7AD,55.848882,-4.116476
G69 7AD,55.848882,-4.116476
G69 9DW,55.903334,-4.107864
G71 5RR,55.829057,-4.058237
G71 5SU,55.829193,-4.056009
G71 7NE,55.817464,-4.071608
G71 8ET,55.804855,-4.071608
G72 0BS,55.790459,-4.092729
G72 0BS,55.790459,-4.092729
G72 0BS,55.790459,-4.092729
G72 0BS,55.790459,-4.092729
G72 8AT,55.819275,-4.173852
G72 8HA,55.819878,-4.17786
G72 8HA,55.819878,-4.17786
G72 8RW,55.811738,-4.146539
G73 2LD,55.826053,-4.21753
G73 2PQ,55.823511,-4.209978
G73 2PQ,55.823511,-4.209978
G73 2PQ,55.823511,-4.209978
G73 2PQ,55.823511,-4.209978
G73 2PQ,55.823511,-4.209978
G73 2PQ,55.823511,-4.209978
G74 1AD,55.762495,-4.176253
G74 1AD,55.762495,-4.176253
G74 1AD,55.762495,-4.176253
G74 1AD,55.762495,-4.176253
G74 1AD,55.762495,-4.176253
G74 3BE,55.771365,-4.153665
G74 3BE,55.771365,-4.153665
G75 0RT,55.75269,-4.185396
G76 7BU,55.785383,-4.274695
G76 7BX,55.787458,-4.275262
G76 7HN,55.793314,-4.282451
G76 7HN,55.793314,-4.282451
G76 7HN,55.793314,-4.282451
G76 7HN,55.793314,-4.282451
G76 7HN,55.793314,-4.282451
G76 7NW,55.794072,-4.287632
G77 5BQ,55.772314,-4.330377
G77 5LU,55.775035,-4.313828
G77 6GR,55.782754,-4.347077
G78 1SW,55.802455,-4.386976
G78 1SW,55.802455,-4.386976
G78 1SW,55.802455,-4.386976
